job_title,company,location,info,posted,datetime,job_link,comp_link
Data Analyst,Imagine Pediatrics,United States,0,6 days ago,2023-09-01,https://www.linkedin.com/jobs/view/data-analyst-at-imagine-pediatrics-3710314342?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=R005sXWlp2efk3k06FSa7A%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/imagine-pediatrics?trk=public_jobs_jserp-result_job-search-card-subtitle
Jr Data Analyst,One Park Financial,"Miami, FL",0,1 week ago,2023-08-28,https://www.linkedin.com/jobs/view/jr-data-analyst-at-one-park-financial-3706449011?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=sFk2wNjjsl8H7BZ4vVj%2B5Q%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/one-park-financial?trk=public_jobs_jserp-result_job-search-card-subtitle
Junior Data Analyst - Remote,coles international inc,"Virginia, United States",0,5 days ago,2023-09-02,https://www.linkedin.com/jobs/view/junior-data-analyst-remote-at-coles-international-inc-3703758139?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=miKQ5uIRqKh41bsjE7%2FwxQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/coles-international-inc?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,Propio Language Services,"Overland Park, KS",Actively Hiring,2 weeks ago,2023-08-24,https://www.linkedin.com/jobs/view/data-analyst-at-propio-language-services-3695491768?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=K5CNohOrB2EgKXWg19eo%2BQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/propiols?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,BlueTeam,"Boca Raton, FL",0,2 weeks ago,2023-08-24,https://www.linkedin.com/jobs/view/data-analyst-at-blueteam-3703207240?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=y4evNdpruHKmpgDfPPsX7A%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/blueteam-corp?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,RaiseRight,"Grand Rapids, MI",0,2 weeks ago,2023-08-23,https://www.linkedin.com/jobs/view/data-analyst-at-raiseright-3693574960?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=dBoFQh79MOLnz%2Fj%2Fd6Rkgw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/raiseright?trk=public_jobs_jserp-result_job-search-card-subtitle
Metric and Data Analyst,Lockheed Martin,"Orlando, FL",Actively Hiring,2 days ago,2023-09-05,https://www.linkedin.com/jobs/view/metric-and-data-analyst-at-lockheed-martin-3713337914?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=xTLkdqUoqmZxKB9G0hOrwQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/lockheed-martin?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,UCLA Health,"Los Angeles, CA",0,1 week ago,2023-08-28,https://www.linkedin.com/jobs/view/data-analyst-at-ucla-health-3703663773?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=4fFA7P9LTcxLFmn%2FSOkmwg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/ucla-health?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst - Early Career,Lockheed Martin,"Fort Worth, TX",Actively Hiring,1 week ago,2023-09-01,https://www.linkedin.com/jobs/view/data-analyst-early-career-at-lockheed-martin-3703746223?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=3dmEnw%2FG8vdjgE1k6elSQw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/lockheed-martin?trk=public_jobs_jserp-result_job-search-card-subtitle
Junior Data Analyst - Remote,FedEx Group,"Boston, NY",0,0,0,https://www.linkedin.com/jobs/view/junior-data-analyst-remote-at-fedex-group-3707540009?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=ys7eVrYIvshdobHHCazY5A%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/fedexgroup?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst - Early Career,Lockheed Martin,"Fort Worth, TX",Actively Hiring,1 week ago,2023-08-31,https://www.linkedin.com/jobs/view/data-analyst-early-career-at-lockheed-martin-3703116076?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=u6XuZnA23CitEPx9rbZn%2FQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/lockheed-martin?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst - Early Career,Lockheed Martin,"Fort Worth, TX",Actively Hiring,1 week ago,2023-09-01,https://www.linkedin.com/jobs/view/data-analyst-early-career-at-lockheed-martin-3703114457?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=eRbVzp8HpHaJm98OPz58kA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/lockheed-martin?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,ESPO Corporation,"Centreville, VA",Be an early applicant,3 weeks ago,2023-08-12,https://www.linkedin.com/jobs/view/data-analyst-at-espo-corporation-3705743279?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=2rAqPH6DddjdvDQvjAH42A%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/espo-engineering-corp-?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,Altamira Technologies Corporation,"Tampa, FL",0,3 weeks ago,2023-08-18,https://www.linkedin.com/jobs/view/data-analyst-at-altamira-technologies-corporation-3690147656?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=oJ9Zu27M2CjoVpNKAXtW5g%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/altamira-corporation?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,Nevro,"Redwood City, CA",Actively Hiring,1 week ago,2023-08-30,https://www.linkedin.com/jobs/view/data-analyst-at-nevro-3700687211?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=O4ZO%2BHKNZRgMI%2Fgw7fmKJg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/nevro-hfx?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,"Business Plan Solutions, LLC","San Antonio, TX",0,2 weeks ago,2023-08-21,https://www.linkedin.com/jobs/view/data-analyst-at-business-plan-solutions-llc-3699925706?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=ccRWvNSvuctF5MWyxKk4IA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/businessplansolutions?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst/Virtual - Remote,FedEx Group,"Phoenix, NY",0,0,0,https://www.linkedin.com/jobs/view/data-analyst-virtual-remote-at-fedex-group-3707536337?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=EsSTTjup%2FLRvVUm70PP1nw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/fedexgroup?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,Sunbird Software,"Sioux Falls, SD",0,2 weeks ago,2023-08-20,https://www.linkedin.com/jobs/view/data-analyst-at-sunbird-software-3699569808?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=lfMs9ymogfW%2FwhHGuDEQjg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/sunbird-software?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,Foxconn Industrial Internet USA,"Mount Pleasant, WI",Actively Hiring,2 weeks ago,2023-08-19,https://www.linkedin.com/jobs/view/data-analyst-at-foxconn-industrial-internet-usa-3698533861?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=zsaI7vAIhb5oUtiy6DJlDg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/fii-usa?trk=public_jobs_jserp-result_job-search-card-subtitle
Jr. Data Analyst,ecocareers,"Honolulu, HI",0,0,0,https://www.linkedin.com/jobs/view/jr-data-analyst-at-ecocareers-3714712515?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=HwiexoI3DwhavXS2X2KVdA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/ecocareers?trk=public_jobs_jserp-result_job-search-card-subtitle
"Entry-Level Data Analyst, ActualTech Media",Future,United States,0,2 days ago,2023-09-05,https://www.linkedin.com/jobs/view/entry-level-data-analyst-actualtech-media-at-future-3713300624?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=yboC3qDdN2UF5%2BaPG9EZpw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,https://uk.linkedin.com/company/future-publishing?trk=public_jobs_jserp-result_job-search-card-subtitle
Junior Data Analyst,American Cruise Lines,"Guilford, CT",0,1 week ago,2023-08-29,https://www.linkedin.com/jobs/view/junior-data-analyst-at-american-cruise-lines-3704092273?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=qdErdDqRLIzLMN4314Wa1w%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/american-cruise-lines?trk=public_jobs_jserp-result_job-search-card-subtitle
Research Data Analyst,WellSpace Health,"Sacramento, CA",0,2 weeks ago,2023-08-19,https://www.linkedin.com/jobs/view/research-data-analyst-at-wellspace-health-3699135733?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=Bx330U245k6a801KGLFDnQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/wellspace-health?trk=public_jobs_jserp-result_job-search-card-subtitle
Junior Data Analyst,Atria Wealth Solutions,San Diego Metropolitan Area,0,3 days ago,2023-09-04,https://www.linkedin.com/jobs/view/junior-data-analyst-at-atria-wealth-solutions-3711094759?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=OUceRovmA8abf991%2BAFvfA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/atria-wealth-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst Asc - Level 1,Lockheed Martin,"Fort Worth, TX",Actively Hiring,1 week ago,2023-08-31,https://www.linkedin.com/jobs/view/data-analyst-asc-level-1-at-lockheed-martin-3709266594?refId=MFm8oji2BDhxJ10J4kPMyA%3D%3D&trackingId=0wprsrIiQZ9f2%2B%2FRT1MAkg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/lockheed-martin?trk=public_jobs_jserp-result_job-search-card-subtitle
Lead Data Analyst,Serenity Healthcare,"Lehi, UT",Be an early applicant,0,0,https://www.linkedin.com/jobs/view/lead-data-analyst-at-serenity-healthcare-3712652264?refId=XfVMTMIQMAQ2FDeG21Jl7w%3D%3D&trackingId=OAAqD6tDeZq%2BGTJHea7MFw%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/serenityhealthcare?trk=public_jobs_jserp-result_job-search-card-subtitle
Metric and Data Analyst,Lockheed Martin,"Orlando, FL",Be an early applicant,3 days ago,2023-09-05,https://www.linkedin.com/jobs/view/metric-and-data-analyst-at-lockheed-martin-3706557886?refId=XfVMTMIQMAQ2FDeG21Jl7w%3D%3D&trackingId=Abq2%2BL1GmvcrmuUIjslP6g%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/lockheed-martin?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,TickPick,"New York County, NY",0,5 days ago,2023-09-02,https://www.linkedin.com/jobs/view/data-analyst-at-tickpick-3710831357?refId=XfVMTMIQMAQ2FDeG21Jl7w%3D%3D&trackingId=clQ5Tvs5RCQHLpM2DM2Jsw%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/tickpick?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,NeuroID,"Whitefish, MT",0,2 days ago,2023-09-06,https://www.linkedin.com/jobs/view/data-analyst-at-neuroid-3710757202?refId=XfVMTMIQMAQ2FDeG21Jl7w%3D%3D&trackingId=pq8n8nm8hM5gOXoOm6lkIA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/neuro-id?trk=public_jobs_jserp-result_job-search-card-subtitle
